Time Period,Alpha(t),Reservoir 0,Reservoir 1,Reservoir 2,Reservoir 3,Atmospheric Concentration Equation,Accumulated Carbon in Sinks,Temp-Climate Equation for Atmosphere,Temp. box 1,Temp. box 2,Radiative Forcing,Abateable non-CO2 GHG emissions base,Non-abateable forcings (GHG and other),Emissions from deforestation (GtCO2 per year)
67,0.1000044992221389,149.59853166868515,0.02387386632273491,2.3227441443040144e-38,0.0,737.6331119827956,-149.6442549050247,0.5,-135.48613798646957,-7.892462279845993e+35,158.38559323550044,15.5,0.265,0.005634529209701278
68,0.1000044992221389,149.5910522656033,0.02103137261854122,5.910071661222255e-39,0.0,737.6224055350079,-149.63311198279564,0.5,-139.48605191585676,-2.6961485662443175e+36,158.38550758645945,15.5,0.265,0.005071076288731151
69,0.1000044992221389,149.58357323646544,0.0185273146896491,1.5037793605652798e-39,0.0,737.6120836382219,-149.62240553500794,0.5,-143.57161329820124,-9.210328581263913e+36,158.38542529112004,15.5,0.265,0.004563968659858035
70,0.1000044992221389,149.57609458125287,0.01632139736360663,3.82626894374146e-40,0.0,737.6021005511551,-149.61208363822186,0.5,-147.74465607723786,-3.146345629351341e+37,158.38534595050916,15.5,0.265,0.004107571793872232
71,0.1000044992221389,149.56861629994688,0.014378123131333864,9.735692890702397e-41,0.0,737.5924159786165,-149.6021005511551,0.5,-152.00705346352225,-1.0748249350708615e+38,158.38526921314735,15.5,0.265,0.003696814614485009
72,0.1000044992221389,149.5611383925288,0.012666220923017559,2.477183842947285e-41,0.0,737.5829944230782,-149.5924159786165,0.5,-156.36071877552055,-3.6717156254961435e+38,158.38519476939564,15.5,0.265,0.0033271331530365087
73,0.1000044992221389,149.5536608589799,0.011158142895650968,6.303033446771302e-42,0.0,737.5738046134519,-149.58299442307816,0.5,-160.80760629867444,-1.2542968807867975e+39,158.3851223464753,15.5,0.265,0.0029944198377328574
74,0.1000044992221389,149.54618369928153,0.009829621134549474,1.6037659354281175e-42,0.0,737.5648190018755,-149.5738046134519,0.5,-165.34971216283046,-4.284810768641435e+39,158.38505170408038,15.5,0.265,0.0026949778539595718
75,0.1000044992221389,149.53870691341498,0.00865927713530548,4.080678291429903e-43,0.0,737.5560133204161,-149.56481900187555,0.5,-169.98907523843027,-1.4637366642854887e+40,158.38498263051207,15.5,0.265,0.0024254800685636147
76,0.1000044992221389,149.53123050136156,0.007628277781986052,1.0383020957295817e-43,0.0,737.5473661905503,-149.55601332041613,0.5,-174.72777805186726,-5.000279214320893e+40,158.38491493927364,15.5,0.265,0.0021829320617072533
77,0.1000044992221389,149.5237544631026,0.00672003228559207,2.64189226644151e-44,0.0,737.5388587791435,-149.5473661905503,0.5,-179.56794772042204,-1.7081482503804383e+41,158.38484846607022,15.5,0.265,0.0019646388555365282
78,0.1000044992221389,149.51627879861937,0.005919925205928002,6.722123335963334e-45,0.0,737.5304744953881,-149.53885877914354,0.5,-184.51175690719904,-5.8352150354348285e+41,158.3847830661659,15.5,0.265,0.0017681749699828752
79,0.1000044992221389,149.5088035078932,0.005215081260683854,1.7104006366151814e-45,0.0,737.5221987238253,-149.53047449538815,0.5,-189.56142479649463,-1.9933711551196532e+42,158.38471861205548,15.5,0.265,0.001591357472984588
80,0.1000044992221389,149.5013285909054,0.004594158137049048,4.352003364892701e-46,0.0,737.5140185891538,-149.52219872382534,0.5,-194.7192180900357,-6.809566636248154e+42,158.38465499141304,15.5,0.265,0.001432221725686129
81,0.1000044992221389,149.49385404763729,0.0040471639717932825,1.1073389989797247e-46,0.0,737.5059227490424,-149.5140185891538,0.5,-199.98745202453793,-2.326219964325741e+43,158.38459210528512,15.5,0.265,0.001288999553117516
82,0.1000044992221389,149.48637987807018,0.0035652965627131408,2.817552184249405e-47,0.0,737.4979012116091,-149.50592274904238,0.5,-205.3684914110414,-7.94661336247544e+43,158.38452986649872,0.0,0.0,0.0
